# 二简词
be	表示
nfvio	戁
nfvioa	戁
nfvo	赧
nfvoa	𧹞
nfvoai	赧
nfvoau	𧹞
nfvuoi	楠
ng	宁
nga	泞
ngao	澝
ngaooa	泞 澝
ngau	𪥰
ngauoo	𪥰
ngi	拧
ngii	苧
ngiioo	苧
ngio	佇
ngiooa	佇
ngiov	侫
ngiova	侫
ngiovo	倿
ngiuoo	拧
ngiv	佞
ngivva	佞
ngo	凝
ngoo	咛
ngooa	㝕
ngooao	㝕
ngooi	甯
ngooia	寍 寗 寜 𡩋 𧕝 甯
ngoooa	咛
ngoooo	𡪕
ngooov	𡬛
ngoou	𡨪
ngoouu	𡨪
ngoov	寕
ngoovi	宁
ngoovu	寕 𡫃
ngovua	凝
ngu	狞
nguaoo	狞
ngv	柠
ngvi	聍
ngvio	𮫂
ngvioo	聍 𮫂
ngvo	橣
ngvooa	柠 橣
nh	乃
nha	奶
nhai	𡥧
nhaiav	𡥧
nhao	能
nhaoo	熋
nhaoou	熋
nhaoua	能
nhau	鼐
nhauau	奶
nhaui	婩
nhauia	鼐 婩
nhauii	㚷
nhauu	妳 乃
nhauua	妳
nhav	渿
nhavvv	渿
nhi	虐
nhii	艿
nhiiau	艿
nhiiv	萘
nhiivu	萘
nhiu	搱
nhiua	摨
nhiuav	搱 摨
nhiv	佴
nhivi	䖋
nhivii	佴 䖋
nhivu	倷
nhivuo	倷
nhivva	虐
nho	疟
nhoa	褦
nhoaao	褦
nhoav	哪
nhoavv	哪
nhovva	疟
nhu	氖
nhuvau	氖
nhv	耐
nhva	𰀂
nhvavv	𰀂
nhvi	迺
nhvia	廼
nhviao	廼
nhvioa	迺
nhvu	奈
nhvuu	耏
nhvuuu	耏
nhvuvi	耐
nhvuvv	奈
nhvv	柰
nhvva	𰀄
nhvvaa	𰀄
nhvvvi	柰
nj	怒
nja	奴
njau	努
njaua	弩
njauaa	驽
njauai	孥
njauao	奴
njauau	努
njauav	弩
njaui	胬
njauia	胬
njauoa	怒
njauv	砮
njauvu	砮
nji	傉
njia	㚢
njiau	伮
njiauv	㚢 伮
njiu	𢫓
njiuau	𢫓
njivuv	傉
njo	呶
njoa	𠴂
njoauv	呶 𠴂
nju	笯
njuvau	笯
nk	泥
nka	尼
nkaa	溺
nkaav	埿
nkaava	溺
nkaavo	埿
nkaavu	泥
nkai	𨺙
nkaia	孨
nkaiaa	𣲷
nkaiai	孨
nkaii	氼
nkaio	孴
nkaioi	孴
nkaiui	𨺙
nkau	妮
nkauav	妮
nkaui	淣
nkauiv	淣
nkauu	婗
nkauua	妳
nkauui	婗
nkauv	嫟
nkauvi	嬺 嫟
nkavua	尼
nki	拟
nkia	睨
nkiaa	㲻
nkiau	蜺
nkiaui	睨 蜺
nkiav	伲
nkiavi	䁥
nkiavu	伲
nkii	薿
nkiii	伱
nkiiiu	伱
nkiiua	薿
nkio	铌
nkioav	铌
nkiou	鿭
nkioua	鿭
nkiu	倪
nkiua	儗
nkiuai	你
nkiuao	拟
nkiuau	儗
nkiuav	抳
nkiuiv	倪
nkiuu	掜
nkiuui	掜
nkiv	𫠜
nkivo	惄
nkivoa	惄
nkivui	𫠜
nko	呢
nkoavu	呢
nkoi	昵
nkoiav	昵
nkoiu	晲
nkoiui	晲
nkoiv	暱
nkoivi	暱
nkoo	怩
nkooa	愵
nkooav	怩 愵
nkoou	懝
nkooua	懝
nkou	逆
nkoua	籾
nkouai	屰
nkouau	籾
nkouoa	逆
nkov	旎
nkovu	麑
nkovui	麑
nkovuv	旎
nku	腻
nkua	猊
nkuaa	疑
nkuaao	疑
nkuau	鲵
nkuaui	猊 鲵
nkui	兒
nkuia	郳
nkuiai	郳
nkuiav	屔
nkuiua	兒
nkuvvv	腻
nkv	匿
nkva	𫐐
nkvaui	𫐐
nkvav	柅
nkvavu	柅
nkvi	𧏾
nkvii	䘌
nkviia	𧏾 䘌
nkviiv	匿
nkvo	霓
nkvoa	坭
nkvoav	坭
nkvou	堄
nkvoui	霓 堄
nkvu	棿
nkvua	𪱾
nkvuai	𪱾
nkvuiv	棿
nkvv	𣘗
nkvvii	𣘗
nl	女
nla	娜
nlaa	沑
nlaaiv	沑
nlau	㛂
nlauav	娜
nlauuu	㛂
nlauvv	女
nlav	那
nlavai	那
nli	挪
nlia	傩
nliaoi	傩
nliav	嶿
nliavo	嶿
nlii	𦰡
nliiav	𦰡
nlio	钕
nlioau	钕
nlioi	锘
nlioii	锘
nliu	搦
nliuav	挪 搦
nliui	掿
nliuii	掿
nliv	偄
nlivi	搻
nliviu	搻
nlivui	偄
nlo	诺
nloaii	诺
nloi	喏
nloiiv	喏
nloo	懦
nlooo	㤖
nloooo	㤖
nloov	愞
nloovo	懦
nloovu	愞
nlou	糯
nloua	籹
nlouau	籹
nlouav	糑
nlouvo	糯
nlu	衄
nlui	朒
nluia	衂
nluiai	䶊 衄
nluiau	朒 衂
nluv	穤
nluvv	稬
nluvvo	穤
nluvvu	稬
nlv	恧
nlva	梛
nlvav	榒
nlvava	榒
nlvavv	梛
nlvo	橠
nlvovu	橠
nlvuoa	恧
nm	年
nma	涊
nmaauo	涊
nmai	淰
nmaioa	淰
nmau	姩
nmauuv	姩
nmav	㞋
nmavao	㞋
nmi	念
nmii	蔫
nmiivi	蔫
nmiooa	念
nmiu	撵
nmiui	捻
nmiuio	捻
nmiuiv	拈
nmiuu	撚
nmiuua	撚
nmiuvv	撵
nmo	粘
nmoi	蹍
nmoiav	蹍
nmoio	唸
nmoioa	唸
nmou	哖
nmoui	焾
nmouio	焾
nmouiv	粘
nmouvv	哖
nmu	黏
nmua	鲇
nmuai	鲶
nmuaio	鲶
nmuaiv	𬲫 鲇
nmuv	秊
nmuvi	秥
nmuviv	黏 秥
nmuvuv	秊
nmuvvi	年
nmv	廿
nmva	辗
nmvaav	辗
nmvi	卄
nmviii	卄
nmviiv	廿
nmvo	埝
nmvoio	埝
nmvu	碾
nmvuav	碾
nmvv	辇
nmvvi	𪎋
nmvviv	𪎋
nmvvu	㮟
nmvvuo	㮟
nmvvva	辇
nn	嫩
nna	媆
nnau	嫰
nnauvi	嫩 嫰
nnauvu	媆
nni	恁
nniuoa	恁
nnv	㯎
nnvovv	㯎
npa	乪
npaiav	乪
npav	灢
npavia	灢
npi	攮
npiu	𫼮
npiuoa	𫼮
npiuvi	攮
npiv	儾
npivia	儾
npo	囔
npoi	曩
npoiov	曩
npovia	囔
npu	馕
npuavi	馕
npui	齉
npuivi	齉
npv	囊
npvi	𰀉
npviav	𰀉
npvioo	囊
npviu	嚢
npviuo	嚢
npvvi	欜
npvvia	欜
nq	牛
nqa	妞
nqaa	纽
nqaaai	纽
nqaai	沑
nqaaiv	沑
nqau	汼
nqauai	妞
nqauvv	汼
nqi	扭
nqio	钮
nqioai	钮
nqiu	拗
nqiua	抝
nqiuaa	拗 抝
nqiuai	扭
nqo	忸
nqoo	怓
nqooai	忸
nqooau	怓
nqou	炄
nqouai	炄
nqu	狃
nquaai	狃
nquvvi	牛
nqv	杻
nqvaiv	杻
nr	能
nra	䏻
nraoua	能
nraovo	䏻
ns	那
nsa	纳
nsaaia	纳
nsai	乸
nsaiaa	乸
nsao	㵊
nsaoiv	㵊
nsau	娜
nsauav	娜
nsaui	拏
nsauia	妠
nsauiu	挐 拏
nsavai	那
nsi	拿
nsia	𨚗
nsiaa	𨙻
nsiaai	𨚗 𨙻
nsiao	䖧
nsiaoi	䖧
nsiau	内
nsiauo	内
nsiav	𠕄
nsiavi	𠕄
nsii	𦰡
nsiiav	𦰡
nsio	钠
nsioi	镎
nsioia	钠
nsioiv	镎
nsiu	捺
nsiuvu	捺
nsiv	㧱
nsiviu	拿 㧱
nso	哪
nsoa	衲
nsoaia	衲
nsoau	𠸎
nsoauv	𠸎
nsoavv	哪
nsoi	呐
nsoia	吶
nsoiau	呐 吶
nsoiv	嗱
nsoivo	嗱
nsov	𤶸
nsovav	𤶸
nsu	南
nsui	肭
nsuiau	肭
nsuoia	南
nsv	雫
nsvovi	雫
nt	暖
nta	奻
ntauau	奻
ntav	渜
ntavui	渜
nto	煖
ntoi	㬉
ntoiuo	暖
ntoivu	㬉
ntou	煗
ntouuo	煖
ntouvu	煗
nw	内
nwa	那
nwau	娞
nwauu	婑
nwauuo	娞
nwauuv	婑
nwavai	那
nwi	內
nwiauo	内 內
nwo	哪
nwoavv	哪
nwov	黁
nwovuv	黁
nwu	馁
nwuauo	馁
nwuv	氝
nwuvia	氝
nwuvv	氞
nwuvvi	氞
nx	娘
nxa	嬢
nxau	孃
nxauoa	娘
nxauov	嬢 孃
nxv	酿
nxvi	醸
nxvioa	酿
nxviov	醸
ny	弄
nya	浓
nyaoau	浓
nyi	侬
nyioau	侬
nyiu	挊
nyiuiv	挊
nyiuv	挵
nyiuvv	挵
nyo	农
nyoaua	农
nyoo	哝
nyooau	哝
nyou	㶶
nyouoa	㶶
nyu	脓
nyuoau	脓
nyuv	秾
nyuvoa	秾
nyv	𬪩
nyvioa	𬪩
nyvo	𬂰
nyvoa	欁
nyvoau	𬂰 欁
nyvv	辳
nyvvvu	弄 辳
nz	闹
nza	淖
nzaivo	淖
nzau	嫐
nzaua	媃
nzauao	媃
nzauia	嫐
nzav	㞪
nzavia	㞪
nzi	挠
nzia	蛲
nziao	𰎞
nziaoa	𰎞
nziaou	巙
nziav	巎
nziava	蛲
nziavu	巎
nzio	铙
nziova	铙
nziuva	挠
nzo	恼
nzoa	呶
nzoauv	呶
nzoav	𫍢
nzoava	𫍢
nzoiov	闹
nzoo	𢙐
nzooa	怓
nzooau	怓
nzooo	悩
nzoooa	𢙐
nzoooo	悩
nzooov	恼
nzu	脑
nzua	猱
nzuaa	峱
nzuaaa	匘
nzuaai	峱
nzuaao	猱
nzuo	脳
nzuoou	脳
nzuovu	脑
nzuv	臑
nzuvoa	臑
nzv	孬
nzvo	垴
nzvoa	堖
nzvoaa	堖
nzvoov	垴
nzvu	硇
nzvuau	孬
nzvui	𥐻
nzvuia	𥐻
nzvuu	夒
nzvuua	𥒚 𥑪 夒
nzvuui	硇
nzvv	瑙
nzvva	桡
nzvvaa	瑙
nzvvau	桡
p	平
pb	品
pba	姘
pbau	嫔
pbauoo	嫔
pbauou	姘
pbauu	娦
pbauui	娦
pbi	拼
pbia	𧏖
pbiaoo	𧏖
pbii	𬞟
pbiiiv	𬞟
pbiu	拚
pbiuao	拚
pbiuou	拼
pbiv	频
pbivu	颦
pbivui	颦
pbivvu	频
pbo	𫫾
pboivi	𫫾
pboooo	品
pbu	贫
pbuoao	贫
pbuv	牝
pbuvua	牝
pbv	聘
pbvi	𣎳
pbviia	聘
pbviua	𣎳
pbvo	榀
pbvooo	榀
pbvv	玭
pbvvva	玭
pc	票
pca	漂
pcaa	缥
pcaav	骠
pcaavi	缥 骠
pcau	嫖
pcauvi	嫖
pcavia	漂
pci	瞟
pcia	螵
pciavi	瞟 螵
pcii	薸
pciiav	薸
pciiu	莩
pciiuo	莩
pciiv	蔈
pciivi	蔈
pciv	僄
pcivia	僄
pco	嘌
pcoi	闝
pcoiao	闝
pcoo	慓
pcoovi	慓
pcov	麃
pcovia	嘌
pcovoo	麃
pcovu	旚
pcovuv	旚
pcu	膘
pcuu	徱
pcuuvi	徱
pcuvia	膘
pcv	飘
pcvi	瓢
pcvia	勡
pcviau	勡
pcvii	剽
pcviii	剽
pcvio	朴
pcvioo	朴
pcviu	彯
pcviua	飘
pcviuu	瓢 彯
pcvivv	票
pcvu	殍
pcvuuo	殍
pd	撇
pda	娝
pdao	潎
pdaoui	潎
pdau	婄
pdauov	婄
pdauvu	娝
pdi	苤
pdiivu	苤
pdio	𬭯
pdioou	𬭯
pdiu	抔
pdiui	抙
pdiuiu	抙
pdiuo	掊
pdiuou	撇
pdiuov	掊
pdiuu	捊
pdiuuo	捊
pdiuv	𫼣
pdiuva	𫼣
pdiuvu	抔
pdo	瞥
pdou	嫳
pdouau	嫳
pdoui	撆
pdouia	瞥
pdouiu	撆
pdouo	暼
pdouoi	暼
pdov	剖
pdovii	剖
pdovu	裒
pdovua	㰴
pdovui	裒
pdu	氕
pdui	𦥑
pduiav	𦥑
pduu	丿
pduvuu	氕
pdv	垺
pdvouo	垺
pf	盘
pfa	潘
pfai	爿
pfaia	溿
pfaiav	溿
pfaivu	爿
pfao	泮
pfaouv	泮
pfau	沜
pfauiv	沜
pfauou	潘
pfauu	洀
pfauua	瀊 洀
pfi	盼
pfia	畔
pfiaou	畔
pfiau	蟠
pfiauo	盼 蟠
pfiu	拌
pfiua	拚
pfiuao	拚
pfiui	鋬
pfiuio	鋬
pfiuou	拌
pfiuu	扳
pfiuuu	扳
pfo	判
pfoa	袢
pfoaou	袢
pfoav	襻
pfoavu	襻
pfoi	蹒
pfoiii	蹒
pfou	叛
pfouii	判
pfouu	籵
pfouuo	籵
pfouuu	炍 叛
pfov	冸
pfovi	丬
pfovii	丬
pfovou	冸
pfu	磐
pfui	乑
pfuiuu	乑
pfuo	胖
pfuoi	番
pfuoia	番
pfuouv	胖
pfuu	槃
pfuua	縏
pfuuaa	縏
pfuuau	媻
pfuui	幋
pfuuia	盘 幋
pfuuu	般
pfuuua	般
pfuuv	鞶
pfuuvi	鞶
pfuuvu	磐
pfuuvv	槃
pfv	攀
pfvo	柈
pfvouv	柈
pfvu	磻
pfvuuo	磻
pfvuvu	攀
pg	凭
pga	屏
pgai	涄
pgaiav	涄
pgao	洴
pgaouv	洴
pgau	娉
pgauia	娉
pgauu	淜
pgauuu	淜
pgav	泙
pgavou	屏 泙
pgavu	屛
pgavuv	屛
pgi	萍
pgia	帡
pgiaa	幈
pgiaav	幈
pgiaou	帡
pgiau	帲
pgiauv	帲
pgiav	蚲
pgiavo	岼 蚲
pgii	苹
pgiia	俜
pgiiao	蓱
pgiiav	萍 俜
pgiii	𬞟
pgiiiv	𬞟
pgiio	荓
pgiiou	荓
pgiivo	苹
pgio	𰽼
pgioou	𰽼
pgiu	倗
pgiuua	凭
pgiuuu	倗
pgo	瓶
pgoa	评
pgoavo	评
pgou	焩
pgouuu	焩
pgouva	瓶
pgov	冯
pgovaa	冯
pgovo	呯
pgovoa	𱞎 慿
pgovou	呯
pgovu	𮰉
pgovua	𮰉
pgu	乒
pgua	鲆
pguavo	鲆
pguiuu	乒
pguv	缾
pguvou	缾
pguvv	甁
pguvva	甁
pgv	坪
pgva	檘
pgvao	𫐌
pgvaou	𫐌
pgvavu	檘
pgvo	塀
pgvoav	塀
pgvouv	平
pgvovo	坪
pgvu	砯
pgvuao	砯
pgvv	枰
pgvvou	枰
pgvvv	玶
pgvvvo	玶
ph	排
pha	派
phai	湃
phaiuv	湃
phau	沠
phaui	渒
phauia	渒
phauui	沠
phauuu	派
phi	拍
phia	䖰
phiauu	䖰
phii	俳
phiia	蒎
phiiau	蒎
phiivv	俳
phiuiv	排
phiuui	拍
pho	哌
phouuu	哌
phu	牌
phui	迫
phuia	廹
phuiao	廹
phuioa	迫
phuiui	牌
phuu	徘
phuuiv	徘
phuuu	𠂢
phuuua	𠂢
phuv	簰
phuva	𥱼
phuvau	𥱼
phuvu	箄
phuvui	簰 箄
phv	棑
phvi	𣏟
phvivi	𣏟
phvivv	棑
pj	普
pja	浦
pjai	濮
pjaiii	濮
pjaiv	陠
pjaivi	陠
pjao	瀑
pjaoiv	瀑
pjaou	潽
pjaouv	潽
pjav	溥
pjavia	浦 溥
pjavv	𡏋
pjavvo	𡏋
pji	扑
pjia	圃
pjiav	圑
pjiavi	圃 圑
pjii	仆
pjiia	蒲
pjiiav	蒲
pjiii	蒱
pjiiiu	蒱
pjiio	菩
pjiioo	仆
pjiiou	菐
pjiiov	菩
pjiiu	葡
pjiiua	葡
pjiiv	莆
pjiivi	莆
pjio	铺
pjioi	镤
pjioii	镤
pjioo	镨
pjioou	镨
pjiov	堡
pjiovi	铺
pjiovo	堡
pjiu	捗
pjiui	𭠙
pjiuii	𭠙
pjiuio	扑
pjiuiv	捗
pjiuv	抪
pjiuvu	抪
pjiv	攴
pjivao	攴
pjivv	舖
pjivvi	舗 舖
pjo	谱
pjoaou	谱
pjoi	蹼
pjoia	曓
pjoiai	曓
pjoii	噗
pjoiii	蹼
pjoiio	噗
pjoio	曝
pjoioi	曝
pjoiv	暴
pjoivi	暴
pjou	烳
pjouoi	普
pjouu	炇
pjouuv	炇
pjouvi	烳
pjov	暜
pjovoi	暜
pju	脯
pjua	匍
pjuavi	匍
pjuv	氆
pjuvi	穙
pjuvia	脯
pjuvii	穙
pjuvou	氆
pjuvu	攵
pjuvuo	攵
pjv	朴
pjvi	酺
pjvii	𱣇
pjviio	𱣇
pjvioo	朴
pjviv	酜
pjvivi	酺
pjvivv	酜
pjvo	埔
pjvoi	墣
pjvoii	墣
pjvoio	圤
pjvovi	埔
pjvv	璞
pjvvii	璞
pk	批
pka	皮
pkaa	纰
pkaav	澼
pkaava	纰
pkaavu	𬳵 澼
pkai	淠
pkaia	陂
pkaiau	陂
pkaiav	淠
pkaiu	陴
pkaiui	陴
pkaiv	阰
pkaiva	阰
pkaivu	疋
pkao	潎
pkaoui	潎
pkau	媲
pkauao	皮
pkaui	濞
pkauia	濞
pkauu	嫓
pkauua	嫓
pkauui	媲
pkauv	妚
pkauvu	妚
pkav	辟
pkava	劈
pkavau	劈
pkavo	譬
pkavoa	憵
pkavov	辟 譬
pkavu	䴙
pkavua	𬸯 䴙
pkavv	屁
pkavva	甓 屁
pki	披
pkia	僻
pkiao	罴
pkiaoo	罴
pkiau	睥
pkiaui	蜱 崥 睥
pkiav	毗
pkiava	蚍 毘 毗
pkiavo	罢
pkiavu	岯 嶏 僻
pkii	芘
pkiiv	苉
pkiiva	芘
pkiivu	苉
pkio	铍
pkioau	铍
pkiou	𫔇
pkioui	𰾎 𫔇
pkiouu	𬬲 𰽸
pkiov	𬬫
pkiova	𬬫
pkiu	擗
pkiuau	披
pkiuav	擗
pkiuv	抷
pkiuva	批
pkiuvo	揊
pkiuvu	抷
pkiv	仳
pkivau	仳
pkivu	伾
pkivui	伓 朇 伾
pko	疲
pkoa	裨
pkoaa	被
pkoaau	被
pkoaui	裨
pkoav	噼
pkoavu	噼
pkoi	𰿾
pkoiav	𰿾
pkoiu	𠵿
pkoiua	𠵿
pkoo	悂
pkooa	怶
pkooau	怶
pkoova	悂
pkou	啤
pkoui	嚊
pkouia	啤 嚊
pkouu	焷
pkouui	焷
pkouv	炋
pkouvu	炋
pkov	癖
pkova	吡
pkovau	疲 吡
pkovav	廦 癖
pkovu	庀
pkovua	庀
pkovuv	旇
pkovv	痞
pkovvu	痞
pku	脾
pkua	鲏
pkuaa	狓
pkuaau	鲏 狓
pkuav	狉
pkuavu	狉
pkui	郫
pkuiai	郫
pkuii	𠜱
pkuiii	𠜱
pkuiv	𣬉
pkuiva	𣬉
pkuo	貔
pkuoui	貔
pkuu	𦨭
pkuuau	𦨭
pkuui	膍
pkuuia	脾 膍
pkv	匹
pkva	枈
pkvau	毞
pkvauv	毞
pkvavv	枈
pkvi	髬
pkvivu	髬
pkvo	霹
pkvoa	圮
pkvoav	壀 霹 圮
pkvou	埤
pkvoui	鼙 埤
pkvov	坯
pkvova	奊
pkvovo	㽬
pkvovu	嚭 噽 坯
pkvu	丕
pkvua	邳
pkvuaa	匹
pkvuai	邳
pkvui	椑
pkvuia	椑
pkvuo	否
pkvuoo	否
pkvuv	砒
pkvuva	砒
pkvuvv	丕
pkvv	琵
pkvva	枇
pkvvau	枇
pkvvva	琵
pl	破
pla	婆
plaa	泼
plaaau	婆
plaao	溌
plaaou	溌
plaaua	泼
plai	陂
plaiau	陂
plau	颇
plaua	泺
plauai	泺
plaui	泊
plauia	淿 泊
plauu	㛘
plauuo	㛘
plauvu	颇
plav	洦
plavu	湐
plavui	湐
plavuo	洦
pli	钋
plia	岥
pliaau	岥
pliau	岶
pliaui	岶
plio	钷
plioa	䥽
plioau	䥽
plioio	钋
pliovo	钷
pliv	攴
plivao	攴
plo	跛
ploa	嘙
ploaau	嘙
ploi	昢
ploiai	昢
ploiau	跛
plou	粕
ploua	屰
plouai	屰
plouo	哱
plouoo	哱
plouui	粕
plouv	烞
plouvi	烞
plu	迫
plua	䎊
pluaao	䎊
pluau	狛
pluaui	狛
plui	魄
pluia	廹
pluiao	廹
pluioa	迫
pluiu	皤
pluiui	魄
pluiuo	皤
pluiuv	敀
pluo	鄱
pluoai	鄱
pluu	媻
pluuau	媻
pluv	笸
pluva	繁
pluvaa	䋣 繁
pluvvo	笸
plv	坡
plva	櫇
plvaui	櫇
plvi	朴
plvia	酦
plviao	醗
plviau	酦
plvioo	朴
plviv	尃
plvivi	尃
plvo	叵
plvoaa	叵
plvoau	坡
plvov	尀
plvovi	尀
plvu	桲
plvuau	破
plvuoo	桲
plvv	珀
plvvui	珀
pm	片
pma	骗
pmaa	骈
pmaai	缏
pmaaiv	缏
pmaaoa	骗
pmaaou	骈
pmau	㛹
pmauiv	㛹
pmauo	媥
pmauoa	媥
pmi	偏
pmia	囨
pmiavu	囨
pmioav	偏
pmiv	便
pmivia	便
pmo	翩
pmoa	扁
pmoaa	𱅝
pmoaaa	𱅝
pmoaao	翩
pmoaia	扁
pmoao	谝
pmoaoa	谝
pmoi	蹁
pmoio	跰
pmoioa	蹁
pmoiou	跰
pmu	篇
pmuiva	片
pmuo	胼
pmuouv	胼
pmuv	犏
pmuvoa	篇 犏
pmv	楩
pmvivi	楩
pmvo	𡎚
pmvoa	楄
pmvoav	楄
pmvooa	𡎚
pn	盆
pna	湓
pnauoa	湓
pno	喷
pnou	㖹
pnouoa	㖹
pnouoi	喷
pnov	呠
pnoviu	呠
pnovu	喯
pnovuo	喯
pnu	𬅫
pnuoia	盆
pnuoua	𬅫
pp	旁
ppa	滂
ppaovo	滂
ppau	嫎
ppauov	嫎
ppi	螃
ppia	髈
ppiaov	螃 髈
ppii	蒡
ppiiov	蒡
ppo	庞
ppoa	房
ppoaov	房
ppoo	嗙
ppoovo	嗙
ppou	炐
ppouvv	炐
ppovov	旁
ppovvu	庞
ppu	胖
ppua	逄
ppuao	鳑
ppuaoa	逄
ppuaov	鳑
ppuav	夆
ppuavv	夆
ppui	乓
ppuioo	乓
ppuo	膀
ppuouv	胖
ppuovo	膀
ppuu	彷
ppuua	膖
ppuuao	胮 膖
ppuuo	徬
ppuuov	彷 徬
ppuv	肨
ppuvvv	肨
ppv	磅
ppvo	雱
ppvoa	霶
ppvoao	霶
ppvoo	䨦
ppvoov	雱 䨦
ppvu	厖
ppvuov	磅
ppvuv	厐
ppvuvu	厖 厐
ppvv	耪
ppvvov	耪
pr	碰
pra	澎
praa	𬴅
praaov	𬴅
prai	漰
praiai	漰
prau	淜
prauu	㛔
prauua	㛔
prauuu	淜
prauv	㛁
prauvo	㛁
prav	泙
pravoo	澎
pravou	泙
pravu	弸
pravuu	弸
pravv	淎
pravvv	淎
pri	捧
pria	蟛
priai	剻
priaii	剻
priavo	蟛
prii	蓬
priia	傰
priiai	傰
priiu	芃
priiua	蓬 芃
priiv	苹
priivo	苹
priu	抨
priuo	搒
priuou	掽
priuov	㧸 搒
priuu	倗
priuuu	倗
priuvo	抨
priuvv	捧
pro	烹
proi	踫
proiou	踫
proo	怦
prooo	恲
prooou	恲
proov	憉
proovo	怦 憉
prou	熢
prouua	熢
prov	嘭
provoo	烹 嘭
provv	𠾴
provvv	𠾴
pru	朋
prua	匉
pruavo	匉
pruu	鹏
pruuu	朋
pruuua	鹏
pruv	篷
pruvo	膨
pruvoo	膨
pruvua	篷
prv	棚
prva	𫐌
prvaou	𫐌
prvi	鬅
prvii	樥
prviiu	樥
prviuu	鬅
prvo	彭
prvoa	椖
prvoav	椖
prvoo	塜
prvooa	塜
prvou	堋
prvoua	塳
prvouu	彭 堋
prvouv	椪
prvov	榜
prvovo	梈 榜
prvu	砰
prvua	槰
prvuao	槰
prvuou	碰
prvuu	硼
prvuuu	棚 硼
prvuvo	砰
ps	怕
psa	潖
psau	派
psaua	妑
psauai	妑
psauo	汃
psauoo	汃
psauuu	派
psavvi	潖
psi	帕
psia	帊
psiaai	帊
psiaui	帕
psii	葩
psiia	芭
psiiai	芭
psiiui	葩
psio	钯
psioai	钯
psiu	扒
psiui	掱
psiuiu	掱
psiuuo	扒
pso	啪
psoi	趴
psoiuo	趴
psoiuu	啪
psooui	怕
psou	叭
psoua	𤆵
psouai	𤆵
psoui	㕷
psouia	㕷
psouoo	叭
psu	爬
psuu	舥
psuuai	爬 舥
psuv	筢
psuviu	筢
psv	琶
psva	杷
psvaiv	杷
psvv	耙
psvvai	琶 耙
pw	配
pwa	陪
pwaa	辔
pwaao	𬇙
pwaaoo	辔 𬇙
pwai	淠
pwaiav	淠
pwaiov	陪
pwaiv	阫
pwaivu	阫
pwao	赔
pwaoov	赔
pwau	妚
pwauo	婄
pwauov	婄
pwauu	姵
pwauua	姵
pwauvu	妚
pwav	沛
pwavia	沛
pwi	佩
pwia	帔
pwiaau	帔
pwiai	𰀦
pwiaia	𰀦
pwiav	嶏
pwiavu	嶏
pwio	锫
pwioov	锫
pwiuav	佩
pwiv	裴
pwivi	伂
pwivia	伂
pwivov	裴
pwivu	俖
pwivui	俖
pwo	呸
pwoo	怌
pwoovu	怌
pwov	旆
pwovi	裵
pwoviv	裵
pwovo	㾦
pwovov	㾦
pwovu	斾
pwovui	呸
pwovuv	旆 斾
pwu	胚
pwui	衃
pwuivu	衃
pwuv	毰
pwuvov	毰
pwuvu	肧
pwuvui	胚 肧
pwv	培
pwvi	醅
pwviav	配
pwviov	醅
pwvo	霈
pwvoav	霈
pwvoov	培
pwvov	坏
pwvovu	坏
pwvu	𠀾
pwvuiv	𠀾
pwvv	珮
pwvvu	柭
pwvvua	珮 柭
pwvvui	柸
pz	跑
pza	泡
pzau	皰
pzauaa	泡
pzauu	㚿
pzauua	皰 㚿
pzi	抛
pzii	萢
pziiau	萢
pziu	拋
pziuua	抛
pziuvu	拋
pzo	炮
pzoa	袍
pzoaua	袍
pzoiua	跑
pzoo	嚗
pzooiv	嚗
pzou	咆
pzouaa	咆
pzouua	炮
pzov	疱
pzovo	麃
pzovoo	麃
pzovu	庖
pzovua	麅 疱 庖
pzu	刨
pzua	狍
pzuaii	刨
pzuao	炰
pzuaoo	炰
pzuau	鲍
pzuaua	狍 鲍
pzuu	脬
pzuuoo	脬
pzuuu	爮
pzuuua	爮
pzv	匏
pzvi	鞄
pzviua	鞄
pzvo	垉
pzvoua	垉
pzvu	奅
pzvua	𪿫
pzvuaa	𪿫
pzvuu	砲
pzvuua	匏 奅 砲
q	去
qb	亲
qba	沁
qbaa	骎
qbaaav	骎
qbao	矜
qbaoao	沁
qbaoio	矜
qbaov	𥎊
qbaovi	𥎊
qbaovo	𰜜
qbau	媇
qbauov	媇
qbauv	嫀
qbauvv	嫀
qbav	溱
qbavv	澿
qbavvv	溱 澿
qbi	侵
qbia	螓
qbiai	嵚
qbiaio	蠄 蚙 嵚
qbiav	嶜
qbiava	嶜
qbiavv	侵 螓
qbii	芹
qbiii	芩
qbiiio	芩
qbiio	仱
qbiioa	仱
qbiiuu	芹
qbio	钦
qbioa	锓
qbioav	锓
qbioo	衾
qbiooa	𲇴
qbioov	衾
qbioua	钦
qbiov	禽
qbiovu	禽
qbiu	擒
qbiui	揿
qbiuio	捦 搇 擒 揿
qbiuo	抋
qbiuoa	抋
qbiuv	㩒
qbiuvv	㩒
qbo	寝
qboa	吢
qboaoo	吢
qboav	唚
qboavv	唚
qboi	噙
qboii	昑
qboiio	昑
qboiov	噙
qboo	吣
qbooao	吣
qbooi	寑
qbooia	寑
qbooio	忴
qbooo	𡩁
qbooov	寝 𡩁
qboov	慬
qboovi	懄 慬
qbov	嗪
qbovi	𲁗
qbovia	𲁗
qbovio	庈
